id,code,language_name,other_names,status,num_speakers,language_family,dialects,language_notes,language_notes2,countries,region,coordinates,endangered_status
4227,gma,Gamberre,Gamberre; Gambere; Gambre; Northern Language; Gamgre; Guwan; Kambera; Kambre; Kambure; Gambera,"Critically Endangered (20 percent certain, based on the evidence available)",6,Worrorran; Northern Worrorran,NA,"Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.",NA,Australia;,Australia,"-14.294386,126.711653",Critically Endangered
4403,kld,Gamilaraay,Camileroi; Gamilaroi; Kamilaroi; Kamilarai; Kamilroi; Kamilrai; Kamularoi; Kaameelarrai; Komleroy; Kahmilaharoy; Kamilary; Gumilori; Gummilroi; Ghummilarai; Cumilri; Kimilari; Kamil; Comleroy; Camel Duahi; Kamalarai; Koomilroi; Gunilroi; Guminilroi; Gumilray; Camleroy; Euhahlayi;Gamilaraay;,"Critically Endangered (20 percent certain, based on the evidence available)",NA,Pama-Nyungan; Wiradhuric,Waalaraay; Gawambaraay; Wirriyaraay; Guyinbaraay;,NA,NA,Australia;,Australia,"-29.85302243, 147.9291115; -29.91686548, 149.6172319",Critically Endangered
4235,gnq,Gana,Ganaq; Gana'; Minansut; Keningau Dusun;,"Endangered (20 percent certain, based on the evidence available)","1,000",Austronesian; Malayo-Polynesian; North Borneo; Sabahan,NA,NA,NA,Malaysia;,Southeast Asia,"5.435442,116.178317",Endangered
4197,gcd,Ganggalida,Mainland; Engarilla; Eugoola; Ganggalita; Iukala; Jakula; Jogula; Jokal; Jokala; Jokul; Jokula; Jugul; Jugula; Jugulda; Jungulda; Kanggaleida; Kangkalita; Yangarella; Yokula; Yookala; Yugulda; Yukala; Yukula; Yukulta; Southern Tangkic; Yukulta-Nguburindi; Mainland Tangkic; Ganggalidda;,"Critically Endangered (20 percent certain, based on the evidence available)",1,Tangkic,Kangkalita; Nguburindi;,"Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.",NA,Australia;,Australia,"-17.019031,138.229847",Critically Endangered
4230,gnb,Gangte,Gante,"Vulnerable (20 percent certain, based on the evidence available)","15,100",Sino-Tibetan; Kukish,NA,NA,NA,India;Myanmar;,South Asia;Southeast Asia,"24.1968,93.587",Vulnerable
4612,kcx-gan,Ganjulé,Ganjule; Ganjawle;,"Severely Endangered (20 percent certain, based on the evidence available)",<50,Afro-Asiatic; Omotic; Ometo,NA,NA,NA,Ethiopia;,Africa,NA,Severely Endangered
8198,peh,Gansu Bonan,Islamic Bonan; Moslem Bonan; Baoan; Bao'an; Baonan; Baongan; 甘肅保安語; 積石山保安語,"Threatened (40 percent certain, based on the evidence available)","10,000-15,000",Mongolic; Shirongolic; Southern Shirongolic,NA,NA,"The ISO code [peh] covers both Gansu Bonan and Qinghai Bonan, but the most recent linguistic references recognize these two as distinct and separate.

Nationality of speakers: Bonan; This nationality does not comprise the speakers of Qinghai Bonan, who are classified as members of the ""Tu"" nationality. Due to differences in religion, the base of bilingualism, languages of education and, since the mid 19th century also location, the two forms of speech are distinct, though still closely related languages.",China;,East Asia,"35.806111, 102.772778",Threatened
4610,gza,Ganza,Ganzo; Koma;,"Threatened (20 percent certain, based on the evidence available)","5,400",Afro-Asiatic; Omotic; Mao,NA,NA,NA,Ethiopia;,Africa,"10.274808,35.136644",Threatened
562,gnz,Ganzi,NA,"Threatened (20 percent certain, based on the evidence available)","1,400",Niger-Congo; Atlantic-Congo; North Volta-Congo; Ubangi,Ganzi; Yaka;,NA,NA,Central African Republic;,Africa,NA,Threatened
5509,gga,Gao,Nggao;,"Threatened (100 percent certain, based on the evidence available)",~900,Austronesian; Malayo-Polynesian; Oceanic; Meso Melanesian,NA,NA,NA,Solomon Islands;,Pacific,"-8.3514,159.8167",Threatened
1511,gqu,Gao Gelao,Gao; Aqaw; Gelo; Kelao; Keleo; Kehlao; Klau; Klo; Ilao; Khi; Chilao; Lao; Keh-lao; 仡佬語稿方言,"Severely Endangered (100 percent certain, based on the evidence available)","<6,000 (including speakers of all the Gelao languages)",Tai-Kadai; Kadai; Ge-Chi,NA,This entry only refers to the Gao (gqu) language of the Gelao subgroup.,"Gao Gelao (self-designation: Gao), together with White Gelao (giw), Green Gelao (giq), and Red Gelao (gir), forms the Gelao subgroup of Tai-Kadai.",China;,East Asia,"26.254, 105.947; 26.409, 106.255; 26.304, 105.734; 26.548, 104.988",Severely Endangered
946,1h9,Gardiol,NA,"Severely Endangered (60 percent certain, based on the evidence available)",300,Indo-European; Italic; Romance; Western Romance,NA,Outlying dialect of Alpine Provencal,NA,Italy;,Europe,"39.466667,16",Severely Endangered
5632,gbm,Garhwali,Gadhavali; Gadhawala; Gadwahi; Gashwali; Godauli; Gorwali; Gurvali; Pahari Garhwali; Girwali; Garhwal; Bhōṭiā of Garhwal;,"Vulnerable (80 percent certain, based on the evidence available)","2,920,000",Indo-European; Indo-Iranian; Indo-Aryan; Northern Zone,Lohbya; Chandpuri; Salani; Nagpuriya; Jaunpuri; Tehri; Bhattiani; Gangadi; Srinagaria; Dessaulya; Parvati; Badhani; Bangani; Rathi; Ravai; Majh-Kumaiya;,NA,NA,India;,South Asia,"30.0976,79.1235",Vulnerable
3472,cab,Garífuna,"Garifuna; Garfuna; Black Carib; Caribe; Central American Carib; ""Moreno"";","At risk (20 percent certain, based on the evidence available)","~100,000",Arawakan; Northern Arawakan; Maritime,"Eastern Garifuna, Western Garifuna. Eastern Garifuna (Honduras and Nicaragua); Western Garifuna (Guatemala and Belize).",NA,NA,Honduras;Guatemala;Belize;,"Mexico, Central America, Caribbean","12.5666,-83.7166;15.8268, -88.7506;15.6754,-88.1476;17.1833,-88.5833",At Risk
5935,ilg-gar,Garig,Gaari; Gari; Garik;,"Critically Endangered (20 percent certain, based on the evidence available)",4,Iwaidjan,NA,NA,NA,Australia;,Australia,NA,Critically Endangered
4773,gll,Garlali,Kullila; Kalali; Galali; Gaḷali,Dormant (),0,Pama-Nyungan; Karnic,NA,"Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.",NA,Australia;,Australia,"-28.13620987,143.9394536",Dormant
10840,NA,Garma'i,NA,"Severely Endangered (80 percent certain, based on the evidence available)",10,Indo-European; Indo-Iranian; Iranian; Northwest; Biabanaki,Garma'i; Iraji,NA,"Garma'i and Iraji are dialects of the same language, which may be termed as Garma'i, as the Garma'i dialect has the larger number of speakers. Garma'i is not intelligible with the other Biabanaki languages Khuri or Farvi.",Iran;,Near East,NA,Severely Endangered
5633,grt,Garo,Garrow; Mande,"Vulnerable (80 percent certain, based on the evidence available)","700,000",Sino-Tibetan; Brahmaputran,Abeng; Achik; Chisak; Dacca; A'we; Ganching; Kamrup; A'beng; A'chick; Matchi,NA,NA,India;Bangladesh;,South Asia,"25.6666666667,90.5",Vulnerable
5051,gex,Garre,Af-Garre;,"Vulnerable (20 percent certain, based on the evidence available)","57,500",Afro-Asiatic; Cushitic; Lowland East Cushitic,NA,NA,NA,Somalia;,Africa,"2.226453,44.650469",Vulnerable
4190,wrk,Garrwa,Karrwa; Garawa; Karawa; Leearrawa; Gaarwa; Karwa; Karrawar; Kurrawar; Korrawa; Karrwaz; Garuwa; Grawa; Kariwa; Leearawa; Wollongorang; Wulungwara;,"Severely Endangered (100 percent certain, based on the evidence available)",59,Garrwan,Kunindirri; Eastern Garrwa; Western Garrwa;,NA,NA,Australia;,Australia,"-16.070005, 136.309758",Severely Endangered
8631,oci-gsc,Gascon,Gascon Occitan; Aranés; Aranese; Arnais; Aranese Occitan,"At risk (20 percent certain, based on the evidence available)","250,000",Indo-European; Italic; Romance; Western Romance,Ariégeois; Aranese; Landais; Mijaranés Aranés; Béarnais; Naut Aranés; Baish Aranés,NA,A variety of Occitan.,France;Spain;,Europe,"43.1811, -0.1428",At Risk
4358,kcx,Gats'amé,Kachama-Ganjule; Gats'ame; Get'eme; Gatame; Haruro; Gidicho; Kachama; Gatsame; Qechem;,"Threatened (20 percent certain, based on the evidence available)","~1,000",Afro-Asiatic; Omotic; Ometo,Kachama; Ganta; Ganjule;,NA,NA,Ethiopia;,Africa,"5.9548,37.5292",Threatened
2668,gvo,Gavião,Gavião do Jiparaná; Gavião do Rondônia; Digüt; Ikõrõ; Gavião;,"Endangered (20 percent certain, based on the evidence available)",523,Tupian; Mondean,"Gavião, Zoró (Cabeça Seca, Panginey)",NA,Not to be confused with Gavião do Parã [gvp].,Brazil;,South America,"-10.6666666667,-62.0",Endangered
2669,gvp,Gavião de Parã,"Pukobyé; Piokob; Bocobu; Gavião, Parã; Parakatêjê; Pukobjê; Canela; Kanela; Krenjé; Krahó;","Endangered (20 percent certain, based on the evidence available)",476,Jean; Northern Je,Kanela;,NA,"Timbíra (Canela [Kanela], Krenjé, Krahó, Pykobyê).  Ethnologue has  
Gavião of Pará (Parakatêjê, Pukobjê) as a separate language, said to be related to Krikati-Timbira, Canela, Krahô.

Not to be confused with Gavião (do Jiparaná) [gvo].",Brazil;,South America,"-5.3316,-46.7138",Endangered
4256,gwt,Gawar-Bati,Gawar-bātī; Narisātī; Narsātī; Gawar-bati; Gowar-Bati; Gowari; Narsati; Narisati; Arandui; Satre; Dardu,"Vulnerable (80 percent certain, based on the evidence available)","8,000-10,000",Indo-European; Indo-Iranian; Indo-Aryan; Northwestern Zone,NA,NA,NA,Afghanistan;Pakistan;,South Asia;Near East,"35.310503, 71.550815",Vulnerable
6680,0h5,Gayiri,Kairi; Khararya;,Dormant (),0?,Pama-Nyungan; Maric,NA,"Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.",NA,Australia;,Australia,"-23.9039922,148.0814757",Dormant
4262,gzi,Gazi,NA,"Threatened (20 percent certain, based on the evidence available)","7,030",Indo-European; Indo-Iranian; Iranian; Western Iranian,NA,NA,NA,Iran;,Near East,"32.8036,51.6211",Threatened
4598,gbg,Gbanziri,Gbanzili-'Bolaka; Gbanzili; Banziri; Gbandere;,"Vulnerable (20 percent certain, based on the evidence available)","17,500",Niger-Congo; Atlantic-Congo; North Volta-Congo; Ubangi,NA,NA,NA,Central African Republic;Democratic Republic of the Congo;,Africa,NA,Vulnerable
5059,krs,Gbaya,Kresh; Kreish; Kreich; Kredj; Kparla; Kpala; Kpara;,"Vulnerable (20 percent certain, based on the evidence available)",NA,Kresh-Aja,Orlo; Dongo; Gbaya-Dara; Gbaya-Ngbongbo; Gbaya-Gboko; Gbaya-Ndogo; Naka;,NA,NA,Sudan;Central African Republic;South Sudan;,Africa,"8.5,24.5",Vulnerable
5995,gyg,Gbayi,Kpasiya;,"Threatened (20 percent certain, based on the evidence available)","~5,000",Niger-Congo; Atlantic-Congo; North Volta-Congo; Ubangi,NA,NA,NA,Central African Republic;,Africa,NA,Threatened
4793,ggb,Gbii,Gbi-Dowlu; Gbee;,"Threatened (20 percent certain, based on the evidence available)","5,600",Niger-Congo; Atlantic-Congo; Kru,Dorbor; Kplor;,NA,NA,Liberia;,Africa,NA,Threatened
1764,gei,Gebe,Gebi;,"Threatened (20 percent certain, based on the evidence available)","2,650",Austronesian; Malayo-Polynesian; South Halmahera-West New Guinea,Umera;,NA,NA,Indonesia;,Southeast Asia,"-.1922,129.5397",Threatened
2346,gji,Geji,"Geeji, Gyannzi, Gyaazə, Bagba, Gezawa, Gejawa, Gaejawa, Kayauri, Kaiyorawa","Threatened (20 percent certain, based on the evidence available)","1,000",Afro-Asiatic; Chadic; West Chadic,Geji; Pelu; Bolu,NA,NA,Nigeria;,Africa,"10.291667, 9.65; 10.333333, 9.633333",Threatened
563,geq,Geme,Jeme; Ngba Geme; Gueme;,"Endangered (20 percent certain, based on the evidence available)",550,Niger-Congo; Atlantic-Congo; North Volta-Congo; Ubangi,Geme Kulagbolu; Geme Tulu;,NA,NA,Central African Republic;,Africa,"8.4941,20.6378",Endangered
4203,gea,Geruma,Gerumawa; Gerema; Germa;,"Threatened (20 percent certain, based on the evidence available)",4700,Afro-Asiatic; Chadic; West Chadic,Sum; Duurum; Gamsawa;,NA,NA,Nigeria;,Africa,"10.206, 9.27; 11,10.405",Threatened
9089,gev,Geviya,Eviya; Gevia; Avia; Ivéa;,"Severely Endangered (100 percent certain, based on the evidence available)",<400,Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,NA,NA,NA,Gabon;,Africa,NA,Severely Endangered
291,gha,Ghadamès,NA,"Threatened (20 percent certain, based on the evidence available)","4,000",Afro-Asiatic; Berber,Ayt Waziten; Elt Ulid;,NA,NA,Tunisia;Libya;,Africa,"30.1166,9.5251",Threatened
2314,gdo,Ghodoberi,Godoberi; годоберинский язык; ღოდობერიული ენა; годоберийский язык; гъибдилIи мицци; Ɣibdiƛi micci; Godoberin;,"Endangered (80 percent certain, based on the evidence available)","2,500-4,000",Northeast Caucasian; Daghestanian; Andic,NA,The Godoberi language belongs to the Andi subgroup of the northwestern group (Avar-Dido) of Dagestan languages. The Godoberis themselves call their language gijbdilhi mitstsi. There are two distinct dialects -- the Godoberi and the Zibirhali dialects -- which differ first and foremost in the pronunciation. (The Red Book of the Peoples of the Russian Empire),NA,Russia;,Caucasus;Europe;East Asia,"42.6666666667,46.0833333333",Endangered
8469,gho,Ghomara,Ghumāra; Ghmara; Ghomara Berber,"Threatened (80 percent certain, based on the evidence available)","~10,000",Afro-Asiatic; Berber,NA,NA,NA,Morocco;,Africa,"35.076581, -4.892731",Threatened
4211,gib,Gibanawa,Gembanawa; Gimbanawa; Jega,NA,"As a pidgin, this language has no native speakers.",Pidgin or Creole; Hausa based,NA,NA,NA,Nigeria;,Africa,"12.22, 4.38",unknown
5712,dbl-gir,Girramay,Keramai; Kiramay; Kiramai; Wombelbara;,"Severely Endangered (20 percent certain, based on the evidence available)",10,Pama-Nyungan; Dyirbalic,NA,NA,NA,Australia;,Australia,NA,Severely Endangered
6780,gih,Githabul,Gidhabal; Gidabal; Kidabal; Kidjabal; Kitta-bool; Kita-bool; Kittabool; Kitabool; Kitapul; Gidabul; Gidjoobal; Kuttibul; Noowidal; Githebul;,Awakening (),NA,Pama-Nyungan; Bandjalangic,NA,"Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.",NA,Australia;,Australia,"-28.69783052,151.9693704",Awakening
4213,git,Gitsenimx̱,Gitksan; Gitsanimx̱; Gitksanimx; Gitxsan; Gitxsen; Hazelton; Giklsan; Gityskyan; Gyitska'n; Interior; Nass-Gitksan,"Severely Endangered (80 percent certain, based on the evidence available)",523,Tsimshian,"Gitxsan (Eastern Gitxsan), Gitsken (Western Gitsken)",NA,NA,Canada;,North America,"55.5300000, -128.0100000",Severely Endangered
4214,giy,Giyug,NA,"Critically Endangered (20 percent certain, based on the evidence available)",2,Unclassified; Wagaydyic?; Australian,NA,NA,NA,Australia;,Australia,NA,Critically Endangered
7369,tof,Gizrra,Gizra; Toga;,"Threatened (20 percent certain, based on the evidence available)","1,050",Eastern Trans-Fly,Western Gizra; Waidoro;,NA,NA,Papua New Guinea;,Pacific,NA,Threatened
10549,gnu,Gnau,NA,"Endangered (20 percent certain, based on the evidence available)",980,Torricelli; Wapei,NA,NA,NA,Papua New Guinea;,Pacific,"-3.59, 142.20",Endangered
6781,lja,Golpa,Kolpa; Golbu; Gorlba. Girrkirr;,"Severely Endangered (20 percent certain, based on the evidence available)",NA,Pama-Nyungan; Yolngu,NA,NA,NA,Australia;,Australia,"-12.03482157,135.565923",Severely Endangered
5636,goe,Gongduk,Gongdubikha; Gongdue Kha;,"Threatened (20 percent certain, based on the evidence available)","~1,000",Sino-Tibetan,NA,NA,NA,Bhutan;,South Asia,"27.086,91.2002",Threatened
401,gni,Gooniyandi,Guniyandi; Guniandi; Gunian; Kunian; Kuniyan; Guniyan; Guniyn; Kunan; Koneyandi; Konejandi; Cowrana; Goonien; Gunan; Gunin; Gunyari; Konajan; Konean Konejandi; Konejanu; Kuniandu; Wadeawulu;,"Severely Endangered (80 percent certain, based on the evidence available)",~100,Bunaban,NA,NA,NA,Australia;,Australia,"-18.26153435,126.2884882",Severely Endangered
1765,goq,Gorap,NA,"Endangered (40 percent certain, based on the evidence available)","1,000",Austronesian; Malayo-Polynesian; Malayo-Chamic; Malayic,NA,NA,NA,Indonesia;,Southeast Asia,"2.1528,128.2516",Endangered
6782,xgg,Goreng,Koreng; Ko:rengi; Kuriny; Corine; Coro-ran; Bremer Bay tribe; Warangu; Warrangoo; Warranger; Warrangle; Kaialiwongi; Kokar; Koorengi; Mongup,Awakening (),NA,Pama-Nyungan; Nyungic,NA,"Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.",NA,Australia;,Australia,"-33.79639425,119.0122558",Awakening
2218,grq,Gorovu,Yerani; Gorova,"Critically Endangered (40 percent certain, based on the evidence available)",<20,Lower Sepik-Ramu; Ramu; Grass,NA,NA,NA,Papua New Guinea;,Pacific,"-4.53, 144.59",Critically Endangered
4953,pcj,Gorum,Gorum; Pareng; Parengi; Gadaba; Parenga Parja; Parenji; Poroja; Gorum Sama; Parengi Poroja,"Endangered (60 percent certain, based on the evidence available)","750-6,000",Austro-Asiatic; Munda; South Munda; Sora-Juray-Gorum,Kolai,NA,NA,India;,South Asia,"18.667,83.0346",Endangered
571,goy,Goundo,NA,"Critically Endangered (60 percent certain, based on the evidence available)",20-30,Niger-Congo; Atlantic-Congo; North Volta-Congo; Adamawa,NA,NA,NA,Chad;,Africa,"9.4761,16.2652",Critically Endangered
4255,gwf,Gowro,Gabaro; Gabar Khel; Dardu,"Threatened (20 percent certain, based on the evidence available)",1000,Indo-European; Indo-Iranian; Indo-Aryan; Northwestern Zone,NA,NA,NA,Pakistan;,South Asia,"35.0254,72.9341",Threatened
4239,goz,Gozarkhani,NA,NA,No estimate available,Indo-European; Indo-Iranian; Iranian; Western Iranian,NA,NA,NA,Iran;,Near East,"38.2036, 48.2519",unknown
4878,nli,Grangali,Glangali; Nangalāmi; Nigalāmi; Nangalami; Gelangali; Jumiaki; Dardu;,"Threatened (20 percent certain, based on the evidence available)","5,000",Indo-European; Indo-Iranian; Indo-Aryan; Northwestern Zone,Nangalami; Zemiaki; Grangali;,NA,NA,Afghanistan;,Near East,"35.2355,71.51",Threatened
2226,kbk,Grass Koiari,"Koiari; Koiari (Grass); Koiari, Grass","Threatened (20 percent certain, based on the evidence available)","1,700",Trans-New Guinea; Koiarian,Lahada; Omani; Hogeri;,NA,NA,Papua New Guinea;,Pacific,"-9.5,147.333333333",Threatened
1510,giq,Green Gelao,Kláo; Hoki Gelao; Cape Draping Gelao; Hagei; Ho Ki; 仡佬语哈給方言; 青仡佬; Cờ Lao;,"Severely Endangered (100 percent certain, based on the evidence available)","<6,000 (including speakers of all the Gelao languages)",Tai-Kadai; Kadai; Ge-Chi,NA,"Green Gelao (self-designation: Hoki), together with White Gelao (giw), Red Gelao (gir), and Gao (gqu), forms the Gelao subgroup of Tai-Kadai.",NA,China;Vietnam;,Southeast Asia;East Asia,"26.070, 105.777; 25.849, 105.209; 26.238, 105.967; 27.728, 106.927; 26.835, 106.745; 24.809, 105.325",Severely Endangered
10922,NA,Griko,Greko; Katoitaliótika; Grakanika,"Severely Endangered (100 percent certain, based on the evidence available)","20,500",Outlying dialect of Modern Greek,NA,NA,Griko is considered both a dialect of Modern Greek (Greek perspective) and a minority language (Italian perspective).,NA,NA,"40.248817, 18.283177",Severely Endangered
2440,ats,Gros Ventre,Atsina; Gros Ventres; White Clay People; Ahahnelin; Ahe; Fall Indians; Ananin; Aáni; Northern Arapaho; Arapaho-Atsina;,Awakening (),NA,Algic; Algonquian; Arapahoan,NA,NA,NA,USA;,North America,"48.4824,-108.7639",Awakening
4186,gaq,Gta',Gataʔ; Gata'; Gataq; Getaq; Didei; Didey; Didayi; Dire; Geta'; Gta'; Gta Asa,"Threatened (20 percent certain, based on the evidence available)","Approximately 3,000",Austro-Asiatic; Munda; South Munda; Gutob-Remo-Geta',Plains Geta'; Hill Geta',NA,NA,India;,South Asia,"18.2293,82.727",Threatened
2692,gvj,Guajá,"Awá, Avá, Awá Guajá, Ayaya, Guaxare, Wazaizara","Endangered (20 percent certain, based on the evidence available)",283,Tupian; Tupi-Guaranian; Northern Tupi-Guaranian,NA,NA,NA,Brazil;,South America,"-3.4914,-46.2963",Endangered
2694,gub,Guajajára,Guajajára; Guazazzara; Tenetehara; Tenetehára; Guajajara; Guajajra;,"Vulnerable (20 percent certain, based on the evidence available)","14,000",Tupian; Tupi-Guaranian; Teneteharan,Pindare; Mearim; Tembe of Gurupi; Zutiua;,NA,NA,Brazil;,South America,"-5.0,-46.0",Vulnerable
2672,guh,Guajibo,Guahibo; Guaybo; Sikuani; Sicuani; Goahibo; Guaigua; Guayba; Wahibo; Goahiva; Hiwi; Wahivo;,"Vulnerable (20 percent certain, based on the evidence available)","35,006",Guajiboan,Tigrero; Guahibo; Amorua;,NA,NA,Colombia;Venezuela;,South America,"6.25,-71.5",Vulnerable
2696,guc,Guajiro,Goajiro; Wayuu; Wahiro; Guajira; Goahiro; Wayuunaiki;,"Vulnerable (100 percent certain, based on the evidence available)","~312,730",Arawakan; Northern Arawakan; Maritime,NA,NA,NA,Colombia;Venezuela;,South America,"12.0,-72.0",Vulnerable
2545,mbp,Guamaca,Malayo; Marocasero; Maracasero; Sanja; Sanka; Sancá; Arosario; Arsario; Guamaka; Wiwa; Wamaka; Atanque; Kampanake; Bustintana; Sanká; Aisario; Nabela; Sanha; Marocacero; Huihua; Damana;,"Threatened (20 percent certain, based on the evidence available)","1,922",Chibchan; Magdalenic,NA,NA,NA,Colombia;,South America,"11.0,-73.5",Threatened
2697,gum,Guambiano,Guambiano; Guambia; Moguex; Namdrik; Guambiana; Mogües; Moguez; Wam; Misak; Guambiano-Moguez; Wambiano; Mogés; Guambía; Wambiano-Mogés,"Vulnerable (20 percent certain, based on the evidence available)","23,462",Barbacoan; Northern Barbacoan,NA,NA,NA,Colombia;,South America,"2.5,-76.6666666667",Vulnerable
509,gqn,Guana (Brazil),"Guaná, Etelena, Guaná, Chané, Kinikinao, Kinihinao; Kinikinau; Chuala; Chana; East Paraná; Equinao;",Dormant (),Ø (1?),Arawakan; Southern Arawakan; Southern Outlier,"Kinikanao, Etelena [Terena], Guaná",NA,"Ethnologue gives Guana (Kinikinao, Chuala, Chana, East Paraná, Kinihinao, Equinao) as a separate language, related to Terêna [ter]. Crevels (2012:182) lists Kinikinau (Guaná) as a distinct language. For others, this Guaná is not distinct from Terena. 

Not to be confused with Guaná of Paraguay [gva] (Mascoyan).",Brazil;,South America,"-21.0685,-56.2765",Dormant
2698,gva,Guana (Paraguay),Guaná; Kaskiha; Kaskihá; Cashquiha; Kashika; Kashiha,"Critically Endangered (60 percent certain, based on the evidence available)",19,Mascoyan,Echoaldi (Chararana /Echonoana); Layana (Niguecactemigi),NA,NA,Paraguay;,South America,"-22.0,-58.0",Critically Endangered
3163,gyr,Guarayu,"Guarayú; Chapacura; Guarayo; Guapore; Tapacura; Huachi; Maré; Iten; Guarayu; ""Guarayo""; Ñañañe;","Threatened (20 percent certain, based on the evidence available)","8,433",Tupian; Tupi-Guaranian; Guarayoan,NA,NA,NA,Bolivia;,South America,"-15.919,-62.8747",Threatened
1951,gae,Guarequena,Warekena; Arequena; Guarekena; Uerequema; Urequema; Warekéna; Werikena; Guarenquena; Warekena,"Endangered (20 percent certain, based on the evidence available)",180,Arawakan; Northern Arawakan; Upper Amazon,NA,NA,NA,Brazil;Venezuela;,South America,"1.5,-67.5",Endangered
6203,var,Guarijío,"Macurái, Maculái, Macurawe, Varihío, Varijío, Vorijío, Warihío, Huarijío","Threatened (20 percent certain, based on the evidence available)","2,136",Uto-Aztecan; Southern Uto-Aztecan; Tarahumaran,"Highland Guarijío, Lowland Guarijío",NA,NA,Mexico;,"Mexico, Central America, Caribbean","27.87, -108.44",Threatened
7110,gsm,Guatemalan Sign Language,Lensegua,"Threatened (100 percent certain, based on the evidence available)","28,000-256,000","Sign Language; Mexican, Central American, or Caribbean",NA,NA,NA,Guatemala;,"Mexico, Central America, Caribbean","14.50, -90.57",Threatened
2894,gta,Guató,Guato;,"Critically Endangered (80 percent certain, based on the evidence available)",5,Isolate; South American,NA,NA,NA,Brazil;,South America,"-17.0,-58.0",Critically Endangered
4246,gut,Guatuso,Maléku Jaíka; Watuso-Wétar; Guetar; Watuso,"Endangered (20 percent certain, based on the evidence available)",276,Chibchan; Votic,NA,NA,NA,Costa Rica;,"Mexico, Central America, Caribbean","10.75, -84.73",Endangered
2898,guo,Guayabero,Cunimía; Jiw; Mítus; Mítua; Wayavero; Hiw;,"Threatened (20 percent certain, based on the evidence available)","1,118",Guajiboan,NA,NA,NA,Colombia;,South America,"2.83333333333,-72.0",Threatened
6200,gym,Guaymí,"Ngäbere, Chiriqui, Ngobere, Valiente","At risk (20 percent certain, based on the evidence available)","147,623",Chibchan; Isthmic,"Inland Bocas del Toro, Coastal Bocas del Toro, Chiriquí",NA,NA,Costa Rica;Panama;,"Mexico, Central America, Caribbean","8.66666666667,-82.0",At Risk
6195,qda,Guazacapán Xinka,Xinca de Guazacapán,Dormant (),0,Xincan,NA,"Xinkan languages are currently represented by only 3 people, all of whom are second language users [semispeakers] of the language. (Rogers 2010:1)","Xinkan is a language family with four members: Guazacapán Xinka, Chiquimulilla Xinka, Jumaytepeque Xinka, and Yupiltepeque Xinka. Two of the four are extinct; the other two have only 3 elderly second language semi-speakers  (Rogers 2010:3). Despite the very significant differences among these languages, and lack of mutual intelligibility, ""Xinkan"" is often talked of as though it were only a single language. For example, 
Ethnologue (2013) gives only a single ""Xinca"" [xin] language, with no known L1 speakers.",Guatemala;,"Mexico, Central America, Caribbean","14.057656,-90.497983",Dormant
6779,gbw,Gubbi Gubbi,Gabi-Gabi; Gabi; Kabikabi; Kabi Kabi; Cabee; Carby; Carby-carbery; Dhapil; Dhipil; Dippil; Dipple; Doon-dooburra; Doondoora; Dowarburra; Dundubara; Dunduura; Gabigabi; Kabbi; Kabi; Kahby; Karabi; Karbi; Maiba,Dormant (),0? There are still some partial speakers.,Pama-Nyungan; Waka-Kabic,NA,"Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.",NA,Australia;,Australia,NA,Dormant
3325,wrg,Gudjal,Warrungu; Warungu; Gugu-Badhun; Gudjala; Warrialgona; Kuritjal; Warrongo; Kutjala;Warungu;Koko Patun,Awakening (),NA,Pama-Nyungan; Maric,"Warungu, Gugu-Badhun, Gudjal",NA,NA,Australia;,Australia,"-19.44157406,144.6482584",Awakening
1863,fra-dge,Guernésiais,Dgèrnésiais; Guernsey French; Guernésiais,"Endangered (20 percent certain, based on the evidence available)",200-300,Indo-European; Italic; Romance; Western Romance,NA,NA,Considered by some to be an outlying dialect of Norman.,United Kingdom;,Europe,"49.433333,-2.583333",Endangered
